year,m_25_plus,m_no_hs_diploma,m_hs_no_college,m_some_college,m_bach_degree_plus,w_25_plus,w_no_hs_diploma,w_hs_no_college,w_some_college,w_bach_degree_plus
1979,1047,840,1027,1097,1320,650,507,617,703,880
1980,1018,802,982,1075,1282,640,492,604,694,871
1981,1019,784,975,1066,1301,638,479,595,699,871
1982,1016,757,966,1062,1300,659,475,610,708,894
1983,1010,747,963,1047,1285,665,484,610,715,916
1984,1005,733,950,1062,1338,674,476,617,726,929
1985,1018,722,936,1085,1356,680,464,616,729,952
1986,1048,726,941,1097,1398,697,471,627,747,986
1987,1041,707,924,1085,1426,701,467,629,758,1017
1988,1027,700,922,1061,1432,707,466,629,759,1023
1989,1010,699,909,1044,1424,709,467,614,766,1024
1990,987,672,884,1044,1428,711,462,607,761,1031
1991,972,649,874,1046,1420,719,465,610,760,1045
1992,973,637,869,1007,1436,726,465,612,739,1078
1993,982,630,862,1012,1427,735,465,614,747,1081
1994,998,593,860,1017,1432,730,445,608,733,1099
1995,995,587,858,1008,1430,724,443,602,723,1090
1996,987,588,850,995,1440,731,442,601,728,1082
1997,992,589,863,1002,1445,745,444,610,740,1084
1998,1018,610,890,1024,1495,772,451,631,758,1126
1999,1040,615,903,1036,1522,774,452,631,760,1153
2000,1045,612,891,1042,1538,778,459,633,762,1140
2001,1056,614,893,1060,1565,796,463,650,762,1152
2002,1056,608,890,1055,1573,820,469,661,784,1167
2003,1049,605,886,1044,1595,824,464,669,790,1173
2004,1047,613,886,1045,1570,823,459,670,793,1181
2005,1024,604,866,1017,1550,813,453,655,780,1173
2006,1026,604,873,1024,1551,807,461,644,775,1165
2007,1030,602,862,1014,1556,809,462,641,762,1166
2008,1033,599,854,1000,1548,807,455,627,757,1151
2009,1056,605,866,1010,1605,831,462,655,762,1173
2010,1039,578,844,1005,1581,837,461,646,759,1172
2011,1022,563,830,969,1536,828,456,639,744,1151
2012,1028,574,831,968,1549,821,436,634,745,1131
2013,1016,557,815,955,1553,824,445,638,732,1161
2014,1009,566,822,954,1515,823,447,632,723,1148
2015,1035,568,830,965,1552,832,457,640,726,1163
2016,1045,594,830,967,1579,846,456,646,742,1188
2017,1052,617,842,968,1564,855,472,644,739,1194
2018,1058,626,844,980,1571,856,484,635,739,1180
2019,1083,652,854,1003,1592,876,500,641,746,1210
2020,1144,674,881,1027,1644,929,525,671,779,1239
