year,men_16_to_19_years,women_16_to_19_years,men_20_to_24_years,women_20_to_24_years,men_25_to_34_years,women_25_to_34_years,men_35_to_44_years,women_35_to_44_years,men_45_to_54_years,women_45_to_54_years,men_55_to_64_years,women_55_to_64_years,men_65_years_and_older,women_65_years_and_older,men_total,women_total
1979,517,440,703,537,983,663,1120,653,1127,640,1040,630,730,567,6220,4130
1980,486,435,673,526,943,655,1102,643,1102,628,1036,616,688,526,6030,4029
1981,460,422,649,523,932,655,1088,652,1085,616,1033,608,729,518,5976,3994
1982,439,408,630,519,925,667,1090,667,1083,651,1031,633,775,545,5973,4090
1983,417,392,600,514,921,675,1097,675,1102,655,1032,638,764,526,5933,4075
1984,414,386,595,507,910,679,1121,695,1119,664,1045,643,781,521,5985,4095
1985,421,382,593,508,906,680,1120,706,1124,671,1074,655,844,556,6082,4158
1986,421,385,597,523,910,692,1129,722,1145,697,1095,670,810,579,6107,4268
1987,428,376,600,528,900,690,1114,736,1135,707,1081,672,830,570,6088,4279
1988,432,388,589,530,888,690,1091,747,1158,715,1074,669,833,591,6065,4330
1989,422,398,586,525,877,687,1095,747,1149,721,1053,673,794,590,5976,4341
1990,420,382,574,518,865,686,1079,751,1139,726,1052,671,776,578,5905,4312
1991,407,381,558,520,851,690,1071,757,1138,740,1046,675,868,593,5939,4356
1992,396,372,539,508,846,693,1054,759,1151,757,1051,682,764,595,5801,4366
1993,391,363,536,512,842,699,1055,770,1156,779,1037,699,798,593,5815,4415
1994,395,366,532,503,830,688,1069,776,1163,780,1045,690,764,582,5798,4385
1995,413,364,533,492,829,682,1056,766,1159,785,1054,682,746,597,5790,4368
1996,414,367,529,491,822,684,1041,763,1150,792,1059,692,786,550,5801,4339
1997,423,387,545,494,831,689,1050,777,1150,798,1079,698,729,561,5807,4404
1998,447,396,568,508,866,718,1078,793,1166,822,1113,758,768,557,6006,4552
1999,453,414,590,534,899,732,1093,783,1188,832,1129,766,732,576,6084,4637
2000,462,427,596,552,902,744,1098,786,1163,851,1109,766,787,591,6117,4717
2001,468,422,598,550,905,751,1106,802,1172,861,1114,786,828,572,6191,4744
2002,450,426,592,556,905,765,1095,824,1165,869,1157,828,841,620,6205,4888
2003,453,422,581,546,886,770,1093,832,1176,859,1166,848,863,614,6218,4891
2004,437,402,573,537,878,771,1104,835,1177,859,1158,845,880,657,6207,4906
2005,438,404,560,526,855,761,1092,825,1133,855,1135,849,855,653,6068,4873
2006,448,393,560,532,851,750,1076,830,1154,848,1161,847,847,656,6097,4856
2007,447,398,591,533,860,747,1093,836,1138,847,1168,850,859,668,6156,4879
2008,445,388,580,536,848,751,1102,822,1137,852,1136,857,907,678,6155,4884
2009,430,391,579,538,865,767,1108,857,1169,861,1167,879,956,728,6274,5021
2010,422,400,556,522,849,771,1088,869,1134,868,1164,875,944,715,6157,5020
2011,427,378,542,505,827,764,1078,847,1129,858,1150,864,947,766,6100,4982
2012,421,373,545,485,834,753,1081,844,1123,843,1136,866,972,754,6112,4918
2013,434,390,548,492,829,741,1065,854,1107,847,1126,867,1043,769,6152,4960
2014,429,391,555,512,826,743,1055,854,1106,853,1117,853,1031,810,6119,5016
2015,445,398,570,511,842,754,1074,879,1137,873,1163,857,1096,809,6327,5081
2016,452,419,564,539,857,761,1086,905,1160,902,1189,876,1070,808,6378,5210
2017,485,424,602,543,867,765,1121,908,1165,903,1159,904,1073,826,6472,5273
2018,486,434,610,563,889,773,1135,903,1172,903,1172,879,1082,836,6546,5291
2019,512,432,631,570,908,798,1163,931,1183,915,1180,891,1079,825,6656,5362
2020,513,464,648,606,952,852,1205,978,1260,977,1228,955,1115,897,6921,5729
